feature,logFC,p_emp,p_param,p_adj_emp,p_adj_param
ADAM22,0.137824820886828,0.0599400599400599,0.0514163173714526,0.0728826776030689,0.0625325317757
ADAM23,-0.456614333239134,0.000999000999000999,1.59315176030786e-12,0.001593969646425,3.88836463564682e-12
ADAM28,-0.663690188607326,0.000999000999000999,1.10506195038105e-39,0.001593969646425,1.01433334883692e-38
ADAM32,0.188916310848727,0.010989010989011,0.00374968650539873,0.0148717688653791,0.0050829873844074
ADAM33,-0.20772544042315,0.00799200799200799,0.00214851375497592,0.0110325401816048,0.00296376212949699
ADAM6,-0.587358416898342,0.000999000999000999,1.56792263884943e-08,0.001593969646425,3.06116954942316e-08
ADAM8,-0.15426202014439,0.003996003996004,0.000337961083728541,0.00576103588835216,0.000495864132726533
ADAM9,-0.39417213055275,0.000999000999000999,4.38594118695763e-20,0.001593969646425,1.56903376150249e-19
ADAMDEC1,-0.0588616074742903,0.460539460539461,0.478224940463687,0.490838673953016,0.512553523014074
ADAMTS1,-0.599975721846612,0.000999000999000999,5.08117371935891e-38,0.001593969646425,4.2951503199045e-37
ADAMTS10,0.0340401961492907,0.42957042957043,0.513306614078979,0.46066544800722,0.547536629847163
ADAMTS12,-0.495979180816856,0.000999000999000999,8.66064558542781e-12,0.001593969646425,2.02808770598972e-11
ADAMTS13,0.0624499975976283,0.137862137862138,0.157220477929891,0.159104870911127,0.180698483175979
ADAMTS14,-0.123415035245784,0.017982017982018,0.00524946476055444,0.0236228278957431,0.00703104912360476
ADAMTS15,-0.56937584008798,0.000999000999000999,8.73938984623489e-14,0.001593969646425,2.28410424294763e-13
ADAMTS16,-0.584418489002416,0.000999000999000999,5.09425382067138e-09,0.001593969646425,1.02126171686273e-08
ADAMTS17,0.164898805424267,0.00799200799200799,0.00352153181873664,0.0110325401816048,0.0047890320345887
ADAMTS18,-0.045488296696349,0.546453546453547,0.563515696828082,0.574904719969571,0.596193493839036
ADAMTS19,0.302997330755167,0.00699300699300699,0.000675106189500425,0.0097309917239349,0.000969633239899078
ADAMTS2,-0.502035264800361,0.000999000999000999,1.19738873666718e-21,0.001593969646425,4.67549845724226e-21
ADAMTS3,0.61609022762946,0.000999000999000999,5.0314338086168e-23,0.001593969646425,2.09710307832181e-22
ADAMTS4,-0.343341556594186,0.000999000999000999,2.09426256056773e-15,0.001593969646425,5.93607953041217e-15
ADAMTS5,-0.27315764075764,0.000999000999000999,4.14242571026508e-08,0.001593969646425,7.86469502793853e-08
ADAMTS6,-0.578254322556765,0.000999000999000999,2.23100906565179e-46,0.001593969646425,2.73483930159266e-45
ADAMTS7,0.19290028725126,0.000999000999000999,1.58550119919346e-05,0.001593969646425,2.55006027541231e-05
ADAMTS8,-0.117361253895834,0.0809190809190809,0.0701534264336213,0.0967054888684983,0.0842091454787287
ADAMTS9,0.246820029979707,0.000999000999000999,6.10458771984919e-07,0.001593969646425,1.07943985392571e-06
ADAMTSL1,-0.479141444329399,0.000999000999000999,2.45911227575962e-29,0.001593969646425,1.37934610582946e-28
ADAMTSL2,-0.200574800788386,0.000999000999000999,4.67213059010139e-06,0.001593969646425,7.79961429849504e-06
ADAMTSL3,-0.221202506427897,0.00799200799200799,0.00209385043603409,0.0110325401816048,0.00289219413489395
ADAMTSL4,-0.841254383504508,0.000999000999000999,1.12116825659401e-58,0.001593969646425,2.33566509119594e-57
ADAMTSL5,-0.634938129987792,0.000999000999000999,7.15064079256892e-36,0.001593969646425,5.43762491652997e-35
ADAP1,-0.178389452726588,0.00599400599400599,0.000776754156395882,0.00842801162447093,0.0011101896134341
ADAP2,-0.450248143278408,0.000999000999000999,4.51238940107171e-47,0.001593969646425,5.74062264516765e-46
ADAR,-0.245547586809034,0.000999000999000999,6.15877342248978e-17,0.001593969646425,1.89655066324759e-16
ADARB1,-0.139322169291777,0.000999000999000999,9.01606624804335e-07,0.001593969646425,1.57936513522548e-06
ADAT1,0.207718046535849,0.000999000999000999,1.97087659155978e-07,0.001593969646425,3.58418120172829e-07
ADAT2,0.203736507995867,0.000999000999000999,6.43853891012897e-11,0.001593969646425,1.43347419729696e-10
ADAT3,-0.244062587174233,0.000999000999000999,3.39030452274787e-07,0.001593969646425,6.09189518093753e-07
ADCK5,0.229022205200774,0.000999000999000999,4.58701995195122e-11,0.001593969646425,1.03007553878787e-10
ADCY1,-0.505048907421351,0.000999000999000999,1.78436758476101e-14,0.001593969646425,4.83253896919527e-14
ADCY10P1,0.467274228216085,0.000999000999000999,2.81773089160336e-22,0.001593969646425,1.13753576446409e-21
ADCY2,-1.26054841917304,0.000999000999000999,9.0190513667222e-35,0.001593969646425,6.56176148099248e-34
ADCY3,-0.434230388401227,0.000999000999000999,6.56356546939136e-46,0.001593969646425,7.84404370673238e-45
ADCY4,0.0565862774399379,0.157842157842158,0.165533332730886,0.180632455397314,0.189756913545469
ADCY5,-1.00909785670363,0.000999000999000999,8.25182417923e-37,0.001593969646425,6.57724444241453e-36
ADCY6,-0.158633116846814,0.000999000999000999,8.78393954647959e-10,0.001593969646425,1.83626241259527e-09
ADCY7,-0.418789968768916,0.000999000999000999,5.75148460430107e-34,0.001593969646425,4.01830967742159e-33
